lat,lon,elevation,slope,aspect,01-07-2015,02-07-2015,03-07-2015,04-07-2015,05-07-2015,06-07-2015,07-07-2015,08-07-2015,09-07-2015,10-07-2015,11-07-2015,12-07-2015,13-07-2015,14-07-2015,15-07-2015,16-07-2015,17-07-2015,18-07-2015,19-07-2015,20-07-2015,21-07-2015,22-07-2015,23-07-2015,24-07-2015,25-07-2015,26-07-2015,27-07-2015,28-07-2015,29-07-2015,30-07-2015
26.53,88.72,88.0,0.477906913,131.8190155,0.4,0.4,28.8,37.2,47.6,2.1,0.8,41.6,0.0,4.2,0.4,4.0,0.1,23.4,93.0,31.9,28.4,9.7,2.9,1.8,4.3,17.7,10.6,4.4,1.8,9.6,3.4,16.6,9.1,4.2
26.55,88.75,86.0,1.632226229,192.6027985,0.0,5.2,20.0,17.2,103.0,4.6,0.6,27.0,0.0,2.6,0.4,3.8,0.0,20.6,76.0,52.2,30.0,11.4,12.0,25.5,29.1,10.2,34.6,11.7,4.5,3.1,45.9,13.8,9.0,9.5
26.58,88.68,90.0,0.318662822,0.0,6.8,0.0,98.4,30.6,52.6,0.0,1.2,4.6,0.0,18.0,0.0,2.8,0.0,57.6,177.8,59.0,17.7,5.3,1.6,0.5,6.3,1.9,0.6,94.2,45.9,13.8,23.6,8.2,2.5,0.8
26.58,88.93,81.0,1.020137906,339.5582275,17.8,17.4,87.8,36.4,68.2,8.2,0.6,0.0,0.0,1.2,1.6,0.0,0.0,14.6,78.6,23.6,13.0,16.4,6.2,1.9,0.6,1.0,3.5,1.0,23.1,14.2,4.6,15.2,12.0,18.2
26.62,89.8,82.0,0.730199337,150.7824097,64.4,19.0,107.4,55.4,32.4,0.0,0.0,0.0,0.0,23.0,0.0,0.0,28.0,64.6,156.4,46.9,22.9,17.2,5.2,67.2,51.7,58.0,24.8,104.9,74.1,50.6,83.7,25.1,7.5,99.7
26.62,92.78,97.0,9.098137856,346.520874,17.0,17.6,0.8,0.1,48.9,13.3,0.0,0.1,0.7,0.0,0.0,0.0,0.0,1.1,57.9,17.4,90.7,27.2,66.5,30.6,9.5,6.1,1.8,2.5,0.8,13.4,4.0,1.4,2.0,0.6
26.67,89.33,91.0,0.318662822,0.0,3.4,19.0,31.0,27.0,66.0,15.6,0.0,1.0,0.0,18.0,0.6,0.6,1.2,0.4,96.8,126.5,37.9,11.4,3.4,6.2,16.7,6.4,5.4,2.1,15.9,4.8,62.2,23.0,7.7,11.3
26.67,90.65,119.0,0.73027575,150.771698,0.0,0.0,5.0,78.4,47.6,0.0,0.0,0.0,0.0,6.6,13.2,0.0,0.0,27.2,48.2,21.2,6.4,54.7,16.4,4.9,30.0,23.7,7.1,2.1,0.6,0.2,0.1,13.5,4.0,1.2
26.67,90.87,76.0,1.663648248,220.006546,0.0,0.0,10.2,22.8,6.0,5.4,0.0,0.0,14.0,6.0,0.0,0.0,0.0,20.2,2.2,11.7,3.5,1.0,1.8,3.7,10.3,6.9,2.1,4.0,1.2,0.4,7.1,25.1,14.4,4.3
26.67,93.75,81.0,0.781117558,294.0752869,4.6,3.2,4.4,16.2,22.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,4.4,46.0,16.6,6.4,1.9,0.6,0.2,0.1,36.5,12.1,5.8,2.6,2.1,0.6,22.9,6.9,2.1,0.6
26.7,92.48,82.0,0.318662822,180.0,7.0,6.3,20.3,0.0,22.3,3.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,0.0,43.2,13.0,6.5,2.0,8.1,2.4,0.7,0.2,0.1,7.9,2.4,0.7,3.7,1.1,11.3,7.1
26.72,94.22,101.0,1.020290494,20.46476555,0.0,0.0,0.3,0.5,17.0,0.4,0.0,6.6,0.0,45.2,1.0,0.0,10.0,3.3,6.2,5.8,1.9,0.6,1.9,0.6,0.2,0.4,5.8,2.0,0.6,6.5,2.4,0.7,5.2,1.6
26.72,95.02,651.0,18.17002487,358.9129028,0.0,0.0,15.0,5.0,20.0,2.0,0.0,0.0,13.2,9.0,0.0,8.0,10.0,4.6,2.0,0.6,0.2,0.1,0.0,0.0,6.4,8.1,4.2,1.3,8.1,2.4,0.7,0.2,0.1,0.0
26.75,89.58,612.0,6.99127388,197.7423859,34.4,12.4,59.4,87.6,5.0,17.8,0.0,0.0,0.0,53.4,0.8,6.0,36.4,24.4,100.4,30.1,34.5,11.8,3.9,3.8,7.3,5.2,59.1,26.2,7.9,2.4,43.5,65.7,19.7,5.9
26.75,91.67,109.0,0.478418648,228.2357941,0.0,0.0,0.0,5.9,98.2,0.0,4.0,13.6,0.0,0.0,8.0,0.0,0.0,0.0,25.8,12.5,3.8,1.1,14.9,4.5,11.2,3.4,1.0,0.3,97.6,29.3,8.8,2.6,28.4,14.9
26.75,92.35,97.0,0.318662822,180.0,1.2,0.0,12.4,5.8,46.6,1.8,0.0,1.0,0.0,0.0,116.4,5.6,3.2,3.8,17.8,14.1,4.2,2.3,43.7,18.5,7.5,2.2,2.4,2.3,1.1,13.0,3.9,1.2,1.6,0.8
26.75,92.87,71.0,1.462248445,282.5846252,4.2,34.8,0.0,2.1,59.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,7.2,215.6,69.1,21.7,20.2,6.1,1.8,98.0,33.1,9.9,3.0,3.7,1.7,0.5,21.0,8.4,2.5
26.78,91.78,145.0,0.95590961,180.0,0.0,0.0,0.0,5.1,110.0,0.0,0.3,17.2,0.0,0.0,0.0,0.0,0.0,0.0,24.2,7.8,2.3,0.7,0.2,0.1,13.4,4.0,1.2,0.4,2.0,0.6,0.2,5.3,7.2,2.2
26.83,94.75,103.0,1.193158865,216.7630768,0.0,0.0,0.0,26.8,16.6,0.0,0.0,0.0,0.0,0.0,0.0,33.4,1.6,3.2,51.6,17.2,14.6,4.4,1.3,0.4,6.8,49.5,24.8,7.4,5.2,4.4,6.7,2.0,5.6,2.3
26.85,88.83,141.0,0.0,0.0,37.8,9.0,40.0,18.2,6.0,25.0,0.0,63.4,0.0,11.8,0.4,0.0,0.0,19.2,142.0,57.7,17.3,8.8,5.8,1.7,0.5,19.2,8.7,15.4,7.1,2.1,1.4,16.9,7.3,6.0
26.87,88.77,153.0,0.637305915,180.0,31.6,11.2,14.2,63.2,5.8,25.4,0.0,44.6,0.2,12.6,6.2,0.0,0.4,23.8,114.6,131.9,57.0,17.1,9.5,18.8,5.6,1.7,3.5,13.0,8.4,6.0,4.1,65.5,23.2,10.8
26.87,91.93,292.0,2.193288088,234.4873962,0.0,0.0,20.4,42.8,23.4,0.4,0.0,2.8,0.0,27.0,29.0,0.0,0.0,7.6,32.2,9.7,25.6,7.7,2.3,10.5,3.6,1.1,9.5,2.8,0.8,6.6,10.1,12.2,7.8,2.3
26.87,94.25,88.0,2.645673275,164.3439789,1.5,4.6,12.0,0.4,4.3,0.8,0.5,0.5,0.0,1.3,2.8,0.0,9.2,0.0,55.8,16.7,7.1,4.6,26.0,11.1,8.8,2.7,2.6,0.8,3.1,1.6,7.1,2.1,0.6,0.2
26.88,88.47,149.0,5.085262775,180.0,220.2,18.2,5.0,74.6,29.4,18.6,0.2,16.6,0.0,21.4,24.2,0.0,4.4,1.8,163.6,66.6,61.1,21.8,12.2,11.6,15.1,14.2,4.3,16.7,16.5,35.1,13.1,79.3,29.7,12.7
26.88,88.55,182.0,1.895932674,250.3645172,0.0,3.6,3.8,5.2,11.6,6.0,22.4,40.8,4.6,7.0,38.2,12.2,21.8,7.4,26.0,29.8,18.0,30.2,9.1,27.6,17.5,44.1,20.6,9.4,14.0,9.4,2.8,13.0,23.7,29.1
